Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
6.800000000000000000e+01,3.212470054626464844e+00,1.138546153429485647e-01,3.300000000000000000e+01
1.980000000000000000e+02,1.043690514564514160e+01,3.599702329318361094e-01,1.050000000000000000e+02
6.300000000000000000e+01,3.713246822357177734e+00,1.098579694496626818e-01,3.800000000000000000e+01
-2.000000000000000000e+02,1.996913862228393555e+01,5.937190059662615926e-01,2.000000000000000000e+02
2.080000000000000000e+02,1.956846117973327637e+01,5.079326120790662591e-01,1.960000000000000000e+02
-9.900000000000000000e+01,1.997242856025695801e+01,5.015402224174526635e-01,2.000000000000000000e+02
3.300000000000000000e+01,6.724727869033813477e+00,1.535161082586198877e-01,6.800000000000000000e+01
-1.600000000000000000e+01,1.164120149612426758e+01,3.664155575763956008e-01,1.170000000000000000e+02
-4.800000000000000000e+01,1.485379838943481445e+01,3.058225108669319070e-01,1.490000000000000000e+02
1.030000000000000000e+02,2.010477137565612793e+01,6.294103731487135089e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010625410079956055e+01,4.194286830381376285e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.011072969436645508e+01,3.214037907080515843e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010632944107055664e+01,5.137144513714686500e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010833454132080078e+01,3.572834853963733348e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010736536979675293e+01,3.814042251832284181e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010959815979003906e+01,2.395647809835731445e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010753989219665527e+01,1.764653110238903755e-01,2.000000000000000000e+02
-6.900000000000000000e+01,1.707382822036743164e+01,1.358320492001326152e-01,1.700000000000000000e+02
-7.600000000000000000e+01,1.778514838218688965e+01,3.142414397936331150e-01,1.770000000000000000e+02
2.600000000000000000e+01,7.478870630264282227e+00,1.584750188186011266e-01,7.500000000000000000e+01
-2.000000000000000000e+02,2.010826611518859863e+01,3.742677087719125661e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010477399826049805e+01,5.217071231452452551e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010539388656616211e+01,4.085739461903324932e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.011241745948791504e+01,7.000621731319145447e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010643291473388672e+01,6.981293589085216800e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010752415657043457e+01,5.617080975225229311e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.011057615280151367e+01,6.748751784459872116e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010723614692687988e+01,5.172300623522192442e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010774922370910645e+01,6.984583261878609672e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010751819610595703e+01,5.380969431616383636e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010612082481384277e+01,1.830574362360144758e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010900092124938965e+01,2.509205551459655070e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010860037803649902e+01,3.890374139069043835e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010684466361999512e+01,3.133937616111160951e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010994100570678711e+01,1.572911237405513474e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010714030265808105e+01,1.745444408321171759e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010582637786865234e+01,2.513623917909337258e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010530686378479004e+01,4.697526588699321715e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.011198353767395020e+01,1.809152425809529285e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010992074012756348e+01,2.120443779449733834e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010689306259155273e+01,3.287541474929453478e-01,2.000000000000000000e+02
2.000000000000000000e+00,2.010755896568298340e+01,5.126446824238569677e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010848879814147949e+01,4.737929969057401713e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010714626312255859e+01,2.417870329684144171e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010739636421203613e+01,1.433396649327126071e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010799789428710938e+01,5.111146614664039411e-01,2.000000000000000000e+02
-9.900000000000000000e+01,2.010762286186218262e+01,5.283856192099646298e-01,2.000000000000000000e+02
1.030000000000000000e+02,2.010576128959655762e+01,5.146634184561659220e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010719776153564453e+01,1.839469450790882366e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010685968399047852e+01,1.758891289092205934e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010596227645874023e+01,3.104191380492405949e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010632562637329102e+01,3.471788868005580841e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010882902145385742e+01,3.704116656564009763e-02,2.000000000000000000e+02
-2.000000000000000000e+02,2.010756301879882812e+01,2.618477506504575114e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010815143585205078e+01,3.667664150548682195e-02,2.000000000000000000e+02
-2.000000000000000000e+02,2.010909152030944824e+01,2.637478854263426431e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.011083531379699707e+01,1.853133417488050383e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010745859146118164e+01,2.674050933127829488e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010499429702758789e+01,1.787964812393885994e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010783982276916504e+01,1.882074391147164072e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.011146092414855957e+01,4.492506622542514344e-02,2.000000000000000000e+02
-2.000000000000000000e+02,2.010843181610107422e+01,2.111405527299296814e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.011019301414489746e+01,3.728214885661061684e-02,2.000000000000000000e+02
-2.000000000000000000e+02,2.010540771484375000e+01,2.758979271696442859e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010552906990051270e+01,2.052414407209743330e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010732340812683105e+01,3.551030445086789111e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010696005821228027e+01,3.174854618542861662e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.010536789894104004e+01,2.922879954094795285e-02,2.000000000000000000e+02
-2.000000000000000000e+02,2.010990786552429199e+01,1.829652926769831101e-01,2.000000000000000000e+02
-2.000000000000000000e+02,2.011255288124084473e+01,2.910517813932870790e-01,2.000000000000000000e+02
