Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
7.100000000000000000e+01,5.812711477279663086e+00,1.787336135317419972e-01,3.000000000000000000e+01
6.400000000000000000e+01,7.216689825057983398e+00,2.879824814208643557e-01,3.700000000000000000e+01
1.000000000000000000e+01,1.803987455368041992e+01,5.518086280350990025e-01,9.100000000000000000e+01
-1.000000000000000000e+02,1.984227085113525391e+01,5.578775117374772385e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.984288024902343750e+01,6.540407318640146794e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.984526705741882324e+01,5.948045338439124086e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.984272050857543945e+01,8.292463993308807346e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.984354686737060547e+01,6.955519248931721910e-01,1.000000000000000000e+02
8.000000000000000000e+01,4.010185241699218750e+00,1.520105184012114363e-01,2.100000000000000000e+01
-1.000000000000000000e+02,1.991011118888854980e+01,5.488177420458694167e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991102933883666992e+01,5.335297912583619739e-01,1.000000000000000000e+02
5.300000000000000000e+01,9.453920841217041016e+00,2.259448002157707913e-01,4.800000000000000000e+01
-1.000000000000000000e+02,1.991026711463928223e+01,4.328104196528458902e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991484475135803223e+01,6.692775779028757865e-01,1.000000000000000000e+02
4.600000000000000000e+01,1.086114239692687988e+01,4.347344349139122821e-01,5.500000000000000000e+01
-1.000000000000000000e+02,1.991381001472473145e+01,8.517406024348078697e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991083979606628418e+01,7.713973512631677742e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991450643539428711e+01,7.490383166099188195e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991273546218872070e+01,4.428085141977502470e-01,1.000000000000000000e+02
2.700000000000000000e+01,1.468210935592651367e+01,6.276160184192715041e-01,7.400000000000000000e+01
-1.000000000000000000e+02,1.991308403015136719e+01,1.079802975179114943e+00,1.000000000000000000e+02
-1.000000000000000000e+02,1.991237807273864746e+01,8.545819766662450245e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991343426704406738e+01,1.003916743585238081e+00,1.000000000000000000e+02
3.100000000000000000e+01,1.387777113914489746e+01,5.752256791143431913e-01,7.000000000000000000e+01
7.600000000000000000e+01,4.829396963119506836e+00,1.523184814184254110e-01,2.500000000000000000e+01
-1.000000000000000000e+02,1.992041087150573730e+01,9.374205787765972353e-01,1.000000000000000000e+02
8.500000000000000000e+01,3.018533229827880859e+00,1.293154729271769887e-01,1.600000000000000000e+01
-1.000000000000000000e+02,1.991495394706726074e+01,7.090473416184484012e-01,1.000000000000000000e+02
7.800000000000000000e+01,4.428137779235839844e+00,1.413433063750891006e-01,2.300000000000000000e+01
7.100000000000000000e+01,5.835166454315185547e+00,2.192848127300657257e-01,3.000000000000000000e+01
-1.000000000000000000e+02,1.991223073005676270e+01,5.001437417913349170e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991282606124877930e+01,4.661930714564290756e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991355252265930176e+01,7.716925325874275376e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991351747512817383e+01,9.930305578251021892e-01,1.000000000000000000e+02
8.500000000000000000e+01,3.017894506454467773e+00,1.534392214556726530e-01,1.600000000000000000e+01
-1.000000000000000000e+02,1.991612553596496582e+01,7.492781767190154207e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991623353958129883e+01,7.292375847941425793e-01,1.000000000000000000e+02
-1.000000000000000000e+02,1.991497874259948730e+01,8.497541837611446436e-01,1.000000000000000000e+02
8.500000000000000000e+01,3.018298864364624023e+00,1.501869017367206960e-01,1.600000000000000000e+01
2.900000000000000000e+01,1.428312015533447266e+01,5.648852325668222152e-01,7.200000000000000000e+01
5.600000000000000000e+01,8.852529287338256836e+00,2.378753402020381269e-01,4.500000000000000000e+01
6.000000000000000000e+01,8.047394990921020508e+00,3.887933789448960176e-01,4.100000000000000000e+01
7.900000000000000000e+01,4.224822759628295898e+00,2.112441107914748151e-01,2.200000000000000000e+01
8.600000000000000000e+01,2.816938161849975586e+00,1.371246866079585125e-01,1.500000000000000000e+01
2.100000000000000000e+01,1.589041543006896973e+01,4.371070584657186786e-01,8.000000000000000000e+01
8.400000000000000000e+01,3.219971179962158203e+00,1.233800331837988373e-01,1.700000000000000000e+01
-1.000000000000000000e+02,1.991198849678039551e+01,4.143684166248712275e-01,1.000000000000000000e+02
8.000000000000000000e+01,4.024023771286010742e+00,1.344438710310957574e-01,2.100000000000000000e+01
8.100000000000000000e+01,3.822127580642700195e+00,1.648541810468148461e-01,2.000000000000000000e+01
8.100000000000000000e+01,3.823639869689941406e+00,1.353851020447287001e-01,2.000000000000000000e+01
7.900000000000000000e+01,4.226668596267700195e+00,1.215658364001286212e-01,2.200000000000000000e+01
7.700000000000000000e+01,4.627317428588867188e+00,1.258539712005808942e-01,2.400000000000000000e+01
7.100000000000000000e+01,5.834102153778076172e+00,1.743951163483948297e-01,3.000000000000000000e+01
8.500000000000000000e+01,3.018240928649902344e+00,1.364448643962171692e-01,1.600000000000000000e+01
7.500000000000000000e+01,5.028867244720458984e+00,1.354201943738868597e-01,2.600000000000000000e+01
7.100000000000000000e+01,5.833582401275634766e+00,2.119080951188153372e-01,3.000000000000000000e+01
6.600000000000000000e+01,6.841219663619995117e+00,2.961569571967735404e-01,3.500000000000000000e+01
7.900000000000000000e+01,4.224856138229370117e+00,1.188754224797931858e-01,2.200000000000000000e+01
6.900000000000000000e+01,6.238377809524536133e+00,1.560565153773687541e-01,3.200000000000000000e+01
5.200000000000000000e+01,9.656552791595458984e+00,3.054402888871619592e-01,4.900000000000000000e+01
8.000000000000000000e+01,4.024281024932861328e+00,1.276165514610398399e-01,2.100000000000000000e+01
6.900000000000000000e+01,6.236537694931030273e+00,1.693486807263542282e-01,3.200000000000000000e+01
6.900000000000000000e+01,6.236551284790039062e+00,1.703375355466560659e-01,3.200000000000000000e+01
4.200000000000000000e+01,1.166544532775878906e+01,2.673305692600478900e-01,5.900000000000000000e+01
7.000000000000000000e+01,6.034694194793701172e+00,1.539523131367712405e-01,3.100000000000000000e+01
7.700000000000000000e+01,4.628342151641845703e+00,1.667563520763269969e-01,2.400000000000000000e+01
7.100000000000000000e+01,5.833753824234008789e+00,1.444500736784435913e-01,3.000000000000000000e+01
