Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
-2.000000000000000000e+00,2.436646699905395508e+00,1.147376738471069801e-01,1.300000000000000000e+01
-3.000000000000000000e+00,2.639216423034667969e+00,1.241557362744385579e-01,1.400000000000000000e+01
1.000000000000000000e+00,1.828488349914550781e+00,1.090631434915297904e-01,1.000000000000000000e+01
-9.000000000000000000e+00,3.857183218002319336e+00,1.988930336950976152e-01,2.000000000000000000e+01
-3.000000000000000000e+00,2.638158082962036133e+00,1.452707921898740984e-01,1.400000000000000000e+01
-7.000000000000000000e+00,3.450627326965332031e+00,1.448996690583931601e-01,1.800000000000000000e+01
0.000000000000000000e+00,2.029962539672851562e+00,1.106506949870551954e-01,1.100000000000000000e+01
-1.000000000000000000e+00,2.233680725097656250e+00,1.128344968207340010e-01,1.200000000000000000e+01
-5.000000000000000000e+00,3.046507596969604492e+00,1.559875160617091583e-01,1.600000000000000000e+01
1.000000000000000000e+00,1.828187942504882812e+00,1.088361867681088280e-01,1.000000000000000000e+01
2.000000000000000000e+00,1.626365184783935547e+00,1.190957823947075001e-01,9.000000000000000000e+00
-1.000000000000000000e+01,4.060842514038085938e+00,1.621302675964834406e-01,2.100000000000000000e+01
1.000000000000000000e+00,1.827074289321899414e+00,1.228838216297973018e-01,1.000000000000000000e+01
-3.000000000000000000e+00,2.638488054275512695e+00,1.141517407932019640e-01,1.400000000000000000e+01
0.000000000000000000e+00,2.030739545822143555e+00,1.116305236784856242e-01,1.100000000000000000e+01
-3.000000000000000000e+00,2.644959688186645508e+00,1.471520678836804596e-01,1.400000000000000000e+01
-5.000000000000000000e+00,3.045368909835815430e+00,1.402800434056485634e-01,1.600000000000000000e+01
-2.000000000000000000e+00,2.436165094375610352e+00,1.300519667671827251e-01,1.300000000000000000e+01
-2.000000000000000000e+00,2.435704231262207031e+00,1.161271426348855773e-01,1.300000000000000000e+01
1.000000000000000000e+00,1.827975511550903320e+00,1.023079625012654065e-01,1.000000000000000000e+01
3.000000000000000000e+00,1.420707941055297852e+00,9.693699111989792505e-02,8.000000000000000000e+00
1.000000000000000000e+00,1.826629638671875000e+00,1.290698116107618643e-01,1.000000000000000000e+01
-1.000000000000000000e+01,4.059990882873535156e+00,2.042642766982324942e-01,2.100000000000000000e+01
-6.000000000000000000e+00,3.247449398040771484e+00,2.040525716577941961e-01,1.700000000000000000e+01
0.000000000000000000e+00,2.030015230178833008e+00,1.304533031876226323e-01,1.100000000000000000e+01
3.000000000000000000e+00,1.421025753021240234e+00,1.097628724055256383e-01,8.000000000000000000e+00
-2.500000000000000000e+01,7.103755712509155273e+00,3.543084195455891705e-01,3.600000000000000000e+01
-2.000000000000000000e+00,2.435949563980102539e+00,1.206401996962943590e-01,1.300000000000000000e+01
4.000000000000000000e+00,1.218731164932250977e+00,9.844322665085813995e-02,7.000000000000000000e+00
-1.000000000000000000e+00,2.233266592025756836e+00,1.525365624720786961e-01,1.200000000000000000e+01
3.000000000000000000e+00,1.422698259353637695e+00,1.196505804132111106e-01,8.000000000000000000e+00
