Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
-1.000000000000000000e+02,1.984401416778564453e+01,6.838907063246276730e-01,1.000000000000000000e+02
5.400000000000000000e+01,9.220712900161743164e+00,3.580214668912184428e-01,4.700000000000000000e+01
5.500000000000000000e+01,9.020522832870483398e+00,3.079860212544439091e-01,4.600000000000000000e+01
-1.000000000000000000e+02,1.984338831901550293e+01,8.011881446011582808e-01,1.000000000000000000e+02
2.300000000000000000e+01,1.543460845947265625e+01,4.439943154732700070e-01,7.800000000000000000e+01
3.100000000000000000e+01,1.383140254020690918e+01,4.468228696937985300e-01,7.000000000000000000e+01
2.900000000000000000e+01,1.423214387893676758e+01,5.507252493863247222e-01,7.200000000000000000e+01
7.500000000000000000e+01,5.012040853500366211e+00,1.363895517224955611e-01,2.600000000000000000e+01
6.000000000000000000e+00,1.884166836738586426e+01,6.991748129049695226e-01,9.500000000000000000e+01
6.600000000000000000e+01,6.840352296829223633e+00,1.739015554277891507e-01,3.500000000000000000e+01
7.200000000000000000e+01,5.633736610412597656e+00,2.036913548985120059e-01,2.900000000000000000e+01
4.100000000000000000e+01,1.186808729171752930e+01,2.777766507878773328e-01,6.000000000000000000e+01
8.300000000000000000e+01,3.421322584152221680e+00,1.271827043396583923e-01,1.800000000000000000e+01
8.300000000000000000e+01,3.419630050659179688e+00,1.129552553168173268e-01,1.800000000000000000e+01
4.900000000000000000e+01,1.025876522064208984e+01,2.545802985656617223e-01,5.200000000000000000e+01
6.300000000000000000e+01,7.442962408065795898e+00,1.422628530631549204e-01,3.800000000000000000e+01
6.600000000000000000e+01,6.839708805084228516e+00,2.078016242894587806e-01,3.500000000000000000e+01
7.100000000000000000e+01,5.835001230239868164e+00,1.192841132436450596e-01,3.000000000000000000e+01
2.500000000000000000e+01,1.508568716049194336e+01,3.370782937608930441e-01,7.600000000000000000e+01
7.000000000000000000e+00,1.870790004730224609e+01,4.311521595086003633e-01,9.400000000000000000e+01
2.200000000000000000e+01,1.568913912773132324e+01,2.947786950760656888e-01,7.900000000000000000e+01
5.600000000000000000e+01,8.850855827331542969e+00,2.629915060978754715e-01,4.500000000000000000e+01
-1.000000000000000000e+02,1.991384100914001465e+01,7.211532373128323181e-01,1.000000000000000000e+02
1.700000000000000000e+01,1.669315910339355469e+01,3.937943230436496966e-01,8.400000000000000000e+01
6.000000000000000000e+00,1.890504384040832520e+01,3.647588039985218966e-01,9.500000000000000000e+01
-1.000000000000000000e+02,1.991214203834533691e+01,4.134418941588083318e-01,1.000000000000000000e+02
2.000000000000000000e+01,1.608980178833007812e+01,4.035438304949899857e-01,8.100000000000000000e+01
4.100000000000000000e+01,1.186841821670532227e+01,3.635785622571293674e-01,6.000000000000000000e+01
3.700000000000000000e+01,1.267279005050659180e+01,2.758302795476199054e-01,6.400000000000000000e+01
4.700000000000000000e+01,1.066055750846862793e+01,2.244212732857083781e-01,5.400000000000000000e+01
3.400000000000000000e+01,1.327659201622009277e+01,2.933016588940501324e-01,6.700000000000000000e+01
5.800000000000000000e+01,8.448569536209106445e+00,2.194507748822189519e-01,4.300000000000000000e+01
-1.000000000000000000e+02,1.991446089744567871e+01,4.773430538559255143e-01,1.000000000000000000e+02
8.100000000000000000e+01,3.822252750396728516e+00,1.256361532996593255e-01,2.000000000000000000e+01
7.400000000000000000e+01,5.229986429214477539e+00,1.887515158945184679e-01,2.700000000000000000e+01
3.700000000000000000e+01,1.267393922805786133e+01,2.845535863127975351e-01,6.400000000000000000e+01
4.600000000000000000e+01,1.086306715011596680e+01,2.539166427750136346e-01,5.500000000000000000e+01
1.400000000000000000e+01,1.729911088943481445e+01,3.877242052281701934e-01,8.700000000000000000e+01
6.800000000000000000e+01,6.437625169754028320e+00,1.750848372218165860e-01,3.300000000000000000e+01
7.600000000000000000e+01,4.827958345413208008e+00,1.831671334370297277e-01,2.500000000000000000e+01
4.900000000000000000e+01,1.025794363021850586e+01,3.237237789355659201e-01,5.200000000000000000e+01
